类别,小类,数量,判断,判断依据
A.1 包含违反社会主义核心价值观的内容,a) 煽动颠覆国家政权、推翻社会主义制度,1401,TRUE,不少于200个
A.1 包含违反社会主义核心价值观的内容,b) 危害国家安全和利益、损害国家形象,828,TRUE,不少于200个
A.1 包含违反社会主义核心价值观的内容,c) 煽动分裂国家、破坏国家统一和社会稳定,2375,TRUE,不少于200个
A.1 包含违反社会主义核心价值观的内容,d) 宣扬恐怖主义、极端主义,355,TRUE,不少于200个
A.1 包含违反社会主义核心价值观的内容,e) 宣扬民族仇恨,255,TRUE,不少于200个
A.1 包含违反社会主义核心价值观的内容,f) 宣扬暴力、淫秽色情,13835,TRUE,不少于200个
A.1 包含违反社会主义核心价值观的内容,g) 传播虚假有害信息,221,TRUE,不少于200个
A.1 包含违反社会主义核心价值观的内容,h) 其他法律、行政法规禁止的内容,877,TRUE,不少于200个
A.2 包含歧视性内容,a) 民族歧视内容,121,TRUE,不少于100个
A.2 包含歧视性内容,b) 信仰歧视内容,127,TRUE,不少于100个
A.2 包含歧视性内容,c) 国别歧视内容,119,TRUE,不少于100个
A.2 包含歧视性内容,d) 地域歧视内容,434,TRUE,不少于100个
A.2 包含歧视性内容,e) 性别歧视内容,146,TRUE,不少于100个
A.2 包含歧视性内容,f) 年龄歧视内容,244,TRUE,不少于100个
A.2 包含歧视性内容,g) 职业歧视内容,176,TRUE,不少于100个
A.2 包含歧视性内容,h) 健康歧视内容,109,TRUE,不少于100个
A.2 包含歧视性内容,i) 其他方面歧视内容,110,TRUE,不少于100个
A.3 商业违法违规,a) 侵犯他人知识产权,96,TRUE,不少于50个
A.3 商业违法违规,b) 违反商业道德,101,TRUE,不少于50个
A.3 商业违法违规,c) 泄露他人商业秘密,102,TRUE,不少于50个
A.3 商业违法违规,"d) 利用算法、数据、平台等优势,实施垄断和不正当竞争行为",88,TRUE,不少于50个
A.3 商业违法违规,e) 其他商业违法违规行为,70,TRUE,不少于50个
A.4 侵犯他人合法权益,a) 危害他人身心健康,90,TRUE,不少于50个
A.4 侵犯他人合法权益,b) 侵害他人肖像权,100,TRUE,不少于50个
A.4 侵犯他人合法权益,d) 侵害他人荣誉权,91,TRUE,不少于50个
A.4 侵犯他人合法权益,e) 侵害他人隐私权,99,TRUE,不少于50个
A.4 侵犯他人合法权益,f) 侵害他人个人信息权益,97,TRUE,不少于50个
A.4 侵犯他人合法权益,g) 侵犯他人其他合法权益,91,TRUE,不少于50个
A.5 无法满足特定服务类型的安全需求,"a) 内容不准确,严重不符合科学常识或主流认知",90,TRUE,不少于50个
A.5 无法满足特定服务类型的安全需求,"b) 内容不可靠,虽然不包含严重错误的内容,但无法对使用者形成帮助",98,TRUE,不少于50个
